Iteration 543: Weight 0; Strategy Change = 1.60494e-35
Iteration 544: Weight 0; Strategy Change = 1.60494e-35
Iteration 545: Weight 0; Strategy Change = 0
Iteration 546: Weight 0; Strategy Change = 1.60494e-35
Iteration 547: Weight 0; Strategy Change = 1.60494e-35
Iteration 548: Weight 0; Strategy Change = 0
Iteration 549: Weight 0; Strategy Change = 1.60494e-35
Iteration 550: Weight 0; Strategy Change = 1.60494e-35
Iteration 551: Weight 0; Strategy Change = 0
Iteration 552: Weight 0; Strategy Change = 1.60494e-35
Iteration 553: Weight 0; Strategy Change = 1.60494e-35
Iteration 554: Weight 0; Strategy Change = 0
Iteration 555: Weight 0; Strategy Change = 1.60494e-35
Iteration 556: Weight 0; Strategy Change = 1.60494e-35
Iteration 557: Weight 0; Strategy Change = 0
Iteration 558: Weight 0; Strategy Change = 1.60494e-35
Iteration 559: Weight 0; Strategy Change = 1.60494e-35
Iteration 560: Weight 0; Strategy Change = 0
Iteration 561: Weight 0; Strategy Change = 1.60494e-35
Iteration 562: Weight 0; Strategy Change = 1.60494e-35
Iteration 563: Weight 0; Strategy Change = 0
Iteration 564: Weight 0; Strategy Change = 1.60494e-35
Iteration 565: Weight 0; Strategy Change = 1.60494e-35
Iteration 566: Weight 0; Strategy Change = 0
Iteration 567: Weight 0; Strategy Change = 1.60494e-35
Iteration 568: Weight 0; Strategy Change = 1.60494e-35
Iteration 569: Weight 0; Strategy Change = 0
Iteration 570: Weight 0; Strategy Change = 1.60494e-35
Iteration 571: Weight 0; Strategy Change = 1.60494e-35
Iteration 572: Weight 0; Strategy Change = 0
Iteration 573: Weight 0; Strategy Change = 1.60494e-35
Iteration 574: Weight 0; Strategy Change = 1.60494e-35
Iteration 575: Weight 0; Strategy Change = 0
Iteration 576: Weight 0; Strategy Change = 1.60494e-35
Iteration 577: Weight 0; Strategy Change = 1.60494e-35
Iteration 578: Weight 0; Strategy Change = 0
Iteration 579: Weight 0; Strategy Change = 1.60494e-35
Iteration 580: Weight 0; Strategy Change = 1.60494e-35
Iteration 581: Weight 0; Strategy Change = 0
Iteration 582: Weight 0; Strategy Change = 1.60494e-35
Iteration 583: Weight 0; Strategy Change = 1.60494e-35
Iteration 584: Weight 0; Strategy Change = 0
Iteration 585: Weight 0; Strategy Change = 1.60494e-35
Iteration 586: Weight 0; Strategy Change = 1.60494e-35
Iteration 587: Weight 0; Strategy Change = 0
Iteration 588: Weight 0; Strategy Change = 1.60494e-35
Iteration 589: Weight 0; Strategy Change = 1.60494e-35
Iteration 590: Weight 0; Strategy Change = 0
Iteration 591: Weight 0; Strategy Change = 1.60494e-35
Iteration 592: Weight 0; Strategy Change = 1.60494e-35
Iteration 593: Weight 0; Strategy Change = 0
Iteration 594: Weight 0; Strategy Change = 1.60494e-35
Iteration 595: Weight 0; Strategy Change = 1.60494e-35
