Iteration 0: Weight 0; Strategy Change = 0.131378
Iteration 357: Weight 346.724; Strategy Change = 8.75045e-09
Iteration 358: Weight 347.718; Strategy Change = 8.67833e-09
Iteration 359: Weight 348.713; Strategy Change = 8.607e-09
Iteration 360: Weight 349.707; Strategy Change = 8.53645e-09
Iteration 361: Weight 350.702; Strategy Change = 8.46667e-09
Iteration 362: Weight 351.696; Strategy Change = 8.39765e-09
Iteration 363: Weight 352.691; Strategy Change = 8.32938e-09
Iteration 364: Weight 353.685; Strategy Change = 8.26186e-09
Iteration 365: Weight 354.68; Strategy Change = 8.19506e-09
Iteration 366: Weight 355.674; Strategy Change = 8.12899e-09
Iteration 367: Weight 356.669; Strategy Change = 8.06362e-09
Iteration 368: Weight 357.663; Strategy Change = 7.99896e-09
Iteration 369: Weight 358.658; Strategy Change = 7.93499e-09
Iteration 370: Weight 359.653; Strategy Change = 7.8717e-09
Iteration 371: Weight 360.647; Strategy Change = 7.80908e-09
Iteration 372: Weight 361.642; Strategy Change = 7.74713e-09
Iteration 373: Weight 362.637; Strategy Change = 7.68584e-09
Iteration 374: Weight 363.631; Strategy Change = 7.62519e-09
Iteration 375: Weight 364.626; Strategy Change = 7.56518e-09
Iteration 376: Weight 365.621; Strategy Change = 7.5058e-09
Iteration 377: Weight 366.615; Strategy Change = 7.44705e-09
Iteration 378: Weight 367.61; Strategy Change = 7.3889e-09
Iteration 379: Weight 368.605; Strategy Change = 7.33137e-09
Iteration 380: Weight 369.6; Strategy Change = 7.27443e-09
Iteration 381: Weight 370.594; Strategy Change = 7.21808e-09
Iteration 382: Weight 371.589; Strategy Change = 7.16231e-09
Iteration 383: Weight 372.584; Strategy Change = 7.10712e-09
Iteration 384: Weight 373.579; Strategy Change = 7.05249e-09
Iteration 385: Weight 374.574; Strategy Change = 6.99843e-09
Iteration 386: Weight 375.568; Strategy Change = 6.94492e-09
Iteration 387: Weight 376.563; Strategy Change = 6.89195e-09
Iteration 388: Weight 377.558; Strategy Change = 6.83952e-09
Iteration 389: Weight 378.553; Strategy Change = 6.78763e-09
Iteration 390: Weight 379.548; Strategy Change = 6.73626e-09
Iteration 391: Weight 380.543; Strategy Change = 6.68541e-09
Iteration 392: Weight 381.538; Strategy Change = 6.63507e-09
Iteration 393: Weight 382.533; Strategy Change = 6.58524e-09
Iteration 394: Weight 383.528; Strategy Change = 6.53591e-09
Iteration 395: Weight 384.523; Strategy Change = 6.48707e-09
Iteration 396: Weight 385.518; Strategy Change = 6.43872e-09
Iteration 397: Weight 386.513; Strategy Change = 6.39084e-09
Iteration 398: Weight 387.508; Strategy Change = 6.34345e-09
Iteration 399: Weight 388.503; Strategy Change = 6.29652e-09
Iteration 400: Weight 389.498; Strategy Change = 6.25006e-09
Iteration 401: Weight 390.493; Strategy Change = 6.20405e-09
Iteration 402: Weight 391.488; Strategy Change = 6.15849e-09
Iteration 403: Weight 392.483; Strategy Change = 6.11339e-09
Iteration 404: Weight 393.478; Strategy Change = 6.06872e-09
Iteration 405: Weight 394.473; Strategy Change = 6.02449e-09
Iteration 406: Weight 395.468; Strategy Change = 5.98069e-09
Iteration 407: Weight 396.463; Strategy Change = 5.93731e-09
Iteration 408: Weight 397.458; Strategy Change = 5.89435e-09
Iteration 409: Weight 398.453; Strategy Change = 5.85181e-09
Iteration 410: Weight 399.448; Strategy Change = 5.80968e-09
Iteration 411: Weight 400.444; Strategy Change = 5.76795e-09
Iteration 412: Weight 401.439; Strategy Change = 5.72662e-09
Iteration 413: Weight 402.434; Strategy Change = 5.68569e-09
Iteration 414: Weight 403.429; Strategy Change = 5.64515e-09
Iteration 415: Weight 404.424; Strategy Change = 5.60499e-09
Iteration 416: Weight 405.42; Strategy Change = 5.56522e-09
Iteration 417: Weight 406.415; Strategy Change = 5.52582e-09
Iteration 418: Weight 407.41; Strategy Change = 5.48679e-09
Iteration 419: Weight 408.405; Strategy Change = 5.44813e-09
Iteration 420: Weight 409.4; Strategy Change = 5.40984e-09
Iteration 421: Weight 410.396; Strategy Change = 5.3719e-09
Iteration 422: Weight 411.391; Strategy Change = 5.33432e-09
Iteration 423: Weight 412.386; Strategy Change = 5.29709e-09
Iteration 424: Weight 413.382; Strategy Change = 5.26021e-09
Iteration 425: Weight 414.377; Strategy Change = 5.22367e-09
Iteration 426: Weight 415.372; Strategy Change = 5.18747e-09
Iteration 427: Weight 416.368; Strategy Change = 5.1516e-09
Iteration 428: Weight 417.363; Strategy Change = 5.11607e-09
Iteration 429: Weight 418.358; Strategy Change = 5.08086e-09
Iteration 430: Weight 419.354; Strategy Change = 5.04597e-09
Iteration 431: Weight 420.349; Strategy Change = 5.01141e-09
Iteration 432: Weight 421.344; Strategy Change = 4.97716e-09
Iteration 433: Weight 422.34; Strategy Change = 4.94322e-09
Iteration 434: Weight 423.335; Strategy Change = 4.90959e-09
Iteration 435: Weight 424.331; Strategy Change = 4.87627e-09
Iteration 436: Weight 425.326; Strategy Change = 4.84325e-09
